review_id,product_id,date,rating,text,review_order,sentence_count,word_count,overall_text_sentiment,mean_aspect_sentiment,aspects_mentioned_count,focal_battery,focal_camera,focal_display,focal_performance,focal_build_quality,focal_price_value,focal_software,rating_normalized,prior_review_count,prior_rating_mean,prior_rating_variance,mean_env_dissonance,aged_dissonance,aged_signed_gap,prior_env_battery,prior_vol_battery,mismatch_battery,dissonance_battery,prior_env_camera,prior_vol_camera,mismatch_camera,dissonance_camera,prior_env_display,prior_vol_display,mismatch_display,dissonance_display,prior_env_performance,prior_vol_performance,mismatch_performance,dissonance_performance,prior_env_build_quality,prior_vol_build_quality,mismatch_build_quality,dissonance_build_quality,prior_env_price_value,prior_vol_price_value,mismatch_price_value,dissonance_price_value,prior_env_software,prior_vol_software,mismatch_software,dissonance_software,has_prior_history
rev_PROD-ALPHA-100_001,PROD-ALPHA-100,2025-01-16 22:00:00,5.0,"The battery life is stellar, easily lasting two full days on a single charge. Bezels are razor-thin with beautiful HDR contrast.",1,2,21,0.8779,0.66725,2,0.7351,,0.5994,,,,,1.0,0,,,,0.33275,0.33275,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,False
rev_PROD-ALPHA-100_002,PROD-ALPHA-100,2025-01-18 14:00:00,5.0,"Unbelievable value for money at this price point. Fluid UI animations, the chipset stays completely cool.",2,2,16,0.8399,0.6311,3,,,,0.6997,,0.4939,0.6997,1.0,1,5.0,0.0,,0.3689,0.3689,0.7351,1,,,,0,,,0.5994,1,,,,0,,,,0,,,,0,,,,0,,,True
rev_PROD-ALPHA-100_003,PROD-ALPHA-100,2025-01-20 10:00:00,5.0,Worth every single penny spent on this purchase. The camera captures crisp details and punchy natural colors.,3,2,17,0.8625,0.6268333333333332,3,,0.8271,0.8271,,,0.2263,,1.0,2,5.0,0.0,0.24764999999999995,0.37316666666666676,0.37316666666666676,0.7351,1,,,,0,,,0.5994,1,0.2276999999999999,0.2276999999999999,0.6997,1,,,,0,,,0.4939,1,-0.2676,0.2676,0.6997,1,,,True
rev_PROD-ALPHA-100_004,PROD-ALPHA-100,2025-01-21 20:00:00,5.0,"Charging is blazing fast with 65W, 0 to 80% in 25 minutes. Night mode is magical, crisp photos even in dim lighting. Outdoor brightness is incredible, easily readable in direct sunlight.",4,3,31,0.9001,0.5640666666666667,3,0.5859,0.4939,0.6124,,,,,1.0,3,5.0,0.0,0.1944166666666666,0.4359333333333333,0.4359333333333333,0.7351,1,-0.1492,0.1492,0.8271,1,-0.33319999999999994,0.33319999999999994,0.7132499999999999,2,-0.10084999999999988,0.10084999999999988,0.6997,1,,,,0,,,0.3601,2,,,0.6997,1,,,True
rev_PROD-ALPHA-100_005,PROD-ALPHA-100,2025-01-22 08:00:00,5.0,"Bezels are razor-thin with beautiful HDR contrast. Affordable budget device with flagship-grade features. Charging is blazing fast with 65W, 0 to 80% in 25 minutes.",5,3,25,0.8271,0.3951,3,0.5859,,0.5994,,,0.0,,1.0,4,5.0,0.0,0.1716444444444444,0.6049,0.6049,0.6605,2,-0.0746,0.0746,0.6605,2,,,0.6796333333333333,3,-0.08023333333333327,0.08023333333333327,0.6997,1,,,,0,,,0.3601,2,-0.3601,0.3601,0.6997,1,,,True
rev_PROD-ALPHA-100_006,PROD-ALPHA-100,2025-01-24 06:00:00,5.0,"Worth every single penny spent on this purchase. Night mode is magical, crisp photos even in dim lighting. Display has an annoying green tint at low brightness levels.",6,3,28,0.4404,0.1414,3,,0.4939,-0.296,,,0.2263,,1.0,5,5.0,0.0,0.3786472222222222,0.8586,0.8586,0.6356333333333333,3,,,0.6605,2,-0.16659999999999997,0.16659999999999997,0.659575,4,-0.9555750000000001,0.9555750000000001,0.6997,1,,,,0,,,0.24006666666666665,3,-0.01376666666666665,0.01376666666666665,0.6997,1,,,True
rev_PROD-ALPHA-100_007,PROD-ALPHA-100,2025-01-24 18:00:00,5.0,The 120Hz AMOLED display is silky smooth and vibrant. Performance is blazing fast with zero lag during heavy gaming. Worth every single penny spent on this purchase.,7,3,27,0.6808,0.35164999999999996,3,,,0.5267,0.30195,,0.2263,,1.0,6,5.0,0.0,0.1554383333333333,0.64835,0.64835,0.6356333333333333,3,,,0.6049666666666667,3,,,0.46846000000000004,5,0.0582399999999999,0.0582399999999999,0.6997,1,-0.39775,0.39775,,0,,,0.23662499999999997,4,-0.010324999999999973,0.010324999999999973,0.6997,1,,,True
rev_PROD-ALPHA-100_008,PROD-ALPHA-100,2025-01-26 17:00:00,5.0,"Unbelievable value for money at this price point. Night mode is magical, crisp photos even in dim lighting.",8,2,18,0.7506,0.4939,2,,0.4939,,,,0.4939,,1.0,7,5.0,0.0,0.18520333333333333,0.5061,0.5061,0.6356333333333333,3,,,0.6049666666666667,3,-0.11106666666666665,0.11106666666666665,0.4781666666666667,6,,,0.500825,2,,,,0,,,0.23455999999999996,5,0.25934,0.25934,0.6997,1,,,True
rev_PROD-ALPHA-100_009,PROD-ALPHA-100,2025-01-27 16:00:00,5.0,"The 120Hz AMOLED display is silky smooth and vibrant. Charging is blazing fast with 65W, 0 to 80% in 25 minutes.",9,2,21,0.802,0.5464333333333333,3,0.5859,,0.5267,0.5267,,,,1.0,8,5.0,0.0,0.04138055555555551,0.4535666666666667,0.4535666666666667,0.6356333333333333,3,-0.049733333333333296,0.049733333333333296,0.5771999999999999,4,,,0.4781666666666667,6,0.04853333333333326,0.04853333333333326,0.500825,2,0.02587499999999998,0.02587499999999998,,0,,,0.2777833333333333,6,,,0.6997,1,,,True
rev_PROD-ALPHA-100_010,PROD-ALPHA-100,2025-01-28 15:00:00,5.0,"Night mode is magical, crisp photos even in dim lighting. Bezels are razor-thin with beautiful HDR contrast.",10,2,17,0.7964,0.5466500000000001,2,,0.4939,0.5994,,,,,1.0,9,5.0,0.0,0.09879999999999997,0.4533499999999999,0.4533499999999999,0.6232,4,,,0.5771999999999999,4,-0.08329999999999993,0.08329999999999993,0.48510000000000003,7,0.11430000000000001,0.11430000000000001,0.50945,3,,,,0,,,0.2777833333333333,6,,,0.6997,1,,,True
